Neighborhood	Sector #	Population (2010)	Total # Units (2000)	Total # Units (2010)	% Occupied Units (2010)	% Vacant Units (2010)	# Occupied Units (2010)	% Owner Occupied Units (2010)	% Renter Occupied Units (2010)	Est. Avg. Yrs. of Residence (2010)	% Living in Household (2010)	% Living in Group Quarters (2010)	% Units Built 00-09	% Units Built 90-99	% Units Built 80-89	% Units Built 60-79	% Units Built 40-59	% Units Built before 1939	Median Home Value (2000)	Med. Val. ('00 in '10 Dollars)	Median Home  Value (2010)	% Change Real Value 2000-2010	Median Sale Price (2010)	# Sales Counted (2010)	Foreclosures (2008)	Foreclosures (2010)	% of all Housing Units Foreclosed (2010)
Esplen	4	301	231	166	0.78915662650602402816701896881568245589733123779296875	0.2108433734939759995885566468132310546934604644775390625	137	0.62773722627737205126408071009791456162929534912109375	0.372262773722628004247070521159912459552288055419921875	7	1	0	0	0	0.040000000000000000832667268468867405317723751068115234375	0.032727272727273000463288354922042344696819782257080078125	0.090909090909090994880870084671187214553356170654296875	0.83636363636363597606759867630898952484130859375	31000.0	39255.3179191	51400.0	0.309376734789	7750.0	4	6	0	0
Fairywood	4	1002	644	540	0.86111111111111104943205418749130330979824066162109375	0.138888888888889006079097043766523711383342742919921875	153	0.464052287581698974516797306932858191430568695068359375	0.535947712418300969972051461809314787387847900390625	3	1	0	0	0.074380165289256006122542430603061802685260772705078125	0.033057851239668999132614857217049575410783290863037109375	0.32644628099173600421778473901213146746158599853515625	0.32231404958677700722802228483487851917743682861328125	0.243801652892562004115717400054563768208026885986328125	47000.0	59516.1271676	72800.0	0.223197870301	319980.0	8	1	1	0.00185185185185200002454253276340523370890878140926361083984375
Fineview	3	1285	856	760	0.80526315789473701389766802094527520239353179931640625	0.1947368421052630138579075946836383081972599029541015625	672	0.55059523809523802651000323749030940234661102294921875	0.44940476190476197348999676250969059765338897705078125	5	1	0	0	0.056581986143186997761933554329516482539474964141845703125	0.0288683602771360008076850789393574814312160015106201171875	0.1570438799076210034666445380935329012572765350341796875	0.331408775981524017506529844467877410352230072021484375	0.42609699769053099860371958129690028727054595947265625	39400.0	49892.2427746	58900.0	0.180544243444	16000.0	23	4	5	0.0065789473684210002246697257533014635555446147918701171875
Friendship	12	1785	1180	1163	0.92089423903697298356973988120444118976593017578125	0.07910576096302700255247231098110205493867397308349609375	1012	0.1393280632411069974718742514596669934689998626708984375	0.86067193675889297477255013291141949594020843505859375	0	1	0	0.035923141186299002713955275112311937846243381500244140625	0.0033416875522140000905058077051990039763040840625762939453125	0.023391812865496998397052408336094231344759464263916015625	0.05513784461152899940561411540329572744667530059814453125	0.253968253968254009667049331255839206278324127197265625	0.62823725981620703873176125853206031024456024169921875	115600.0	146384.346821	167300.0	0.142881760471	197950.0	18	3	5	0.004299226139294999755879889136167548713274300098419189453125
Garfield	12	3675	2581	1971	0.7691527143581939895966570475138723850250244140625	0.2308472856418060104033429524861276149749755859375	1743	0.467010900745840007441955776812392286956310272216796875	0.53298909925416004806919545444543473422527313232421875	5.3333333333333303727386009995825588703155517578125	1	0	0.060854553301682996757637766904736054129898548126220703125	0.0353905912818300028011009317197022028267383575439453125	0.048338368580059999646270085804644622839987277984619140625	0.0401381096245140012168661769464961253106594085693359375	0.24557617608977100331912879482842981815338134765625	0.56970220112214098318048627334064804017543792724609375	34033.0	43096.0075723	60300.0	0.399201536219	7839.0	93	21	15	0.0076103500761039999389367949333973228931427001953125
Glen Hazel	9	716	287	249	0.94779116465863399998426075399038381874561309814453125	0.05220883534136600001573924600961618125438690185546875	266	0.082706766917293006446953995691728778183460235595703125	0.9172932330827070490641972355660982429981231689453125	5	0.69668874172185402127155384732759557664394378662109375	0.30331125827814597872844615267240442335605621337890625	0	0.04895104895104900044611184739551390521228313446044921875	0.160839160839160999483254954611766152083873748779296875	0.31818181818181801023825983065762557089328765869140625	0.25174825174825199436412503928295336663722991943359375	0.2202797202797200093460361358665977604687213897705078125	N/A	N/A	N/A	N/A	50000.0	4	0	1	0.004016064257028000190896666055095920455642044544219970703125
Greenfield	9	7294	3873	3805	0.9140604467805519828260685244458727538585662841796875	0.08593955321944800329614366773967049084603786468505859375	3728	0.6636266094420599781500413882895372807979583740234375	0.3363733905579400218499586117104627192020416259765625	6	1	0	0.022980164489597998400682854480692185461521148681640625	0.01233671988389000058472522169950025272555649280548095703125	0.018867924528302000564128348969461512751877307891845703125	0.040154813739718998866212729126345948316156864166259765625	0.279148524431542977009002015620353631675243377685546875	0.62651185292694699935367452781065367162227630615234375	65800.0	83322.5780347	90900.0	0.0909408007295	118250.0	160	23	18	0.004730617608409999792773437121695678797550499439239501953125
Hays	8	362	228	203	0.81773399014778302973383006246876902878284454345703125	0.1822660098522169980217455531601444818079471588134765625	214	0.7943925233644859584813957553706131875514984130859375	0.2056074766355140137630286290004733018577098846435546875	8	1	0	0	0.032786885245902001873030684464538353495299816131591796875	0	0	0.0819672131147539950735136926596169359982013702392578125	0.88524590163934402387013733459752984344959259033203125	38500.0	48752.5722543	50800.0	0.0419963019589	10100.0	7	1	1	0.00492610837438399971899283258380819461308419704437255859375
Hazelwood	9	4317	2746	2361	0.797966963151206964965922452392987906932830810546875	0.2020330368487930072785019319780985824763774871826171875	1919	0.505992704533611004080739803612232208251953125	0.494007295466388995919260196387767791748046875	7	1	0	0.0217889908256879982761944347657845355570316314697265625	0.01185015290519900003907149965698408777825534343719482421875	0.07645259938837900559605031958199106156826019287109375	0.1659021406727829994753875553215038962662220001220703125	0.23126911314984699430397085961885750293731689453125	0.49273700305810397281902623944915831089019775390625	38700.0	49005.8323699	65550.0	0.337595890733	5500.0	117	28	21	0.00889453621346899918342909785451411153189837932586669921875
Highland Park	12	6395	3396	3272	0.91748166259168695280123984048259444534778594970703125	0.08251833740831300556539673607403528876602649688720703125	3259	0.53636084688554797050841216332628391683101654052734375	0.463639153114451973980436605415889061987400054931640625	3.5	0.98705120659211298406177093056612648069858551025390625	0.01294879340788700032571778564260966959409415721893310546875	0	0.00988739357319400047341417803181684575974941253662109375	0.00796484482285099958109864104471853352151811122894287109375	0.11590222466355400154913724009020370431244373321533203125	0.2175226586102720072180005672635161317884922027587890625	0.64872287833012898250473199368570931255817413330078125	99900.0	126503.427746	167400.0	0.323284301328	159000.0	83	18	12	0.0036674816625920001432470396451890337630175054073333740234375
Homewood North	11	3280	2171	1807	0.71610403984504700236612961816717870533466339111328125	0.28389596015495299763387038183282129466533660888671875	1515	0.406600660066006980297714790140162222087383270263671875	0.5933993399339929641911339786020107567310333251953125	5.5	1	0	0.00962463907603500028187237802512754569761455059051513671875	0	0.02454282964388800059030160127804265357553958892822265625	0.098171318575553001561928567753056995570659637451171875	0.2333974975938399865071914973668754100799560546875	0.63426371511068302400104812477366067469120025634765625	37900.0	47992.7919075	35450.0	-0.261347410913	6991.0	51	12	13	0.00719424460431699989981790821502727339975535869598388671875
Homewood South	11	2344	2047	1507	0.715992037159919991751166890026070177555084228515625	0.284007962840080008248833109973929822444915771484375	1087	0.456301747930082990389877295456244610249996185302734375	0.54369825206991695409897147328592836856842041015625	7	1	0	0.00659340659340700019352965455254889093339443206787109375	0.0247252747252750017248335012709503644146025180816650390625	0.03021978021978000139569076054613105952739715576171875	0.10109890109890100340361840380865032784640789031982421875	0.16648351648351600307051967320148833096027374267578125	0.67087912087912104919240618983167223632335662841796875	33800.0	42800.9595376	48400.0	0.130815769621	7000.0	107	15	10	0.006635700066357000208305816357778894598595798015594482421875
Homewood West	11	818	583	532	0.77819548872180399623488256111158989369869232177734375	0.221804511278195004564395276247523725032806396484375	444	0.28603603603603600102900372803560458123683929443359375	0.71396396396396399897099627196439541876316070556640625	4	1	0	0.20238095238095199501771048744558356702327728271484375	0	0	0.1294642857142860037367171344158123247325420379638671875	0.147321428571428991727287893809261731803417205810546875	0.52083333333333303727386009995825588703155517578125	38400.0	48625.9421965	34500.0	-0.290502179669	6029.0	66	6	1	0.0018796992481200001066932170346035491093061864376068115234375
